ELEMENT,COLOR
main-ui-bg,#16050e
main-tab-space,#ffffff05
main-ui-button-bg,#831c56
main-ui-border,#0a0a0a
main-input-bg,#141414
main-active-tab,#571339
main-inactive-tab,#410e2b
main-autocomplete-fg,#ae2573
grid-black,black
grid-white,white
grid-bg,#450f2d
grid-highlight,#313131
grid-bars,#ae2573b5
grid-selected-bars,#ae2573
editor-gutter-bg,#2B091D
editor-gutter-text,#FFFFFF80
editor-text,#F5E4ED
editor-bg,#2B091D
editor-cursor,#FFFFFF
editor-highlight,#123957
editor-white,#FFFFFF
editor-keyword,#AE2573
editor-margin,#FFFFFF15
editor-fold,#01a0e4
editor-operator,#A5A2A2
editor-numeric,#A5A2A2
editor-constant,#AE6025
editor-storage,#a16a94
editor-escape,#b5e4f4
editor-string,#25AE60
editor-comment,#CC77A8
editor-rain0,#259fae
editor-rain1,#2558ae
editor-rain2,#6a25ae
editor-rain3,#AE2573
editor-rain4,#AE6025
editor-rain5,#a8ae25
editor-rain6,#25AE60
